id,nom_fichier,titre,auteur,annee,sujets
797,L'Abbesse De Castro.txt,L'Abbesse De Castro,"Stendhal, 1783-1842",1997,Italy -- Fiction; Man-woman relationships -- Fiction; French fiction -- 19th century
796,La Chartreuse De Parme.txt,La Chartreuse De Parme,"Stendhal, 1783-1842",1997,Love stories; Political fiction; Parma (Italy) -- Fiction; Italy -- Social life and customs -- 19th century -- Fiction; Young men -- Italy -- Parma -- Fiction
798,Le rouge et le noir chronique du XIXe siècle.txt,Le rouge et le noir: chronique du XIXe siècle,"Stendhal, 1783-1842",1997,Bildungsromans; France -- Fiction; Young men -- France -- Fiction; Ambition -- Fiction; Church and state -- Fiction
799,De la terre à la lune trajet direct en 97 heures 20 minutes.txt,De la terre à la lune: trajet direct en 97 heures 20 minutes,"Verne, Jules, 1828-1905",1997,Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction
801,Les Cenci.txt,Les Cenci,"Stendhal, 1783-1842",1997,Italy -- Fiction
800,Le tour du monde en quatre-vingts jours (pg800).txt,Le tour du monde en quatre-vingts jours,"Verne, Jules, 1828-1905",1997,Adventure stories; Voyages around the world -- Fiction
802,Vittoria Accoramboni.txt,Vittoria Accoramboni,"Stendhal, 1783-1842",1997,Italy -- Fiction
803,La Duchesse De Palliano.txt,La Duchesse De Palliano,"Stendhal, 1783-1842",1997,Love stories; Italy -- Fiction
1339,Salomé.txt,Salomé,"Wilde, Oscar, 1854-1900",1998,Salome (Biblical figure) -- Drama; Tragedies (Drama)
1256,Cyrano de Bergerac.txt,Cyrano de Bergerac,"Rostand, Edmond, 1868-1918",1998,"Cyrano de Bergerac, 1619-1655 -- Drama; Authors, French -- 17th century -- Drama; France -- History -- 17th century -- Drama"
1910,La Tulipe Noire.txt,La Tulipe Noire,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888",1999,"Tulip Mania, 1634-1637 -- Fiction; Witt, Johan de, 1625-1672 -- Fiction; Netherlands -- History -- 1648-1714 -- Fiction"
2650,Du côté de chez Swann.txt,Du côté de chez Swann,"Proust, Marcel, 1871-1922",2001,Autobiographical fiction; Villages -- France -- Fiction; France -- Social life and customs -- 19th century -- Fiction
2419,La dame aux camélias.txt,La dame aux camélias,"Dumas, Alexandre, 1824-1895",2000,Fathers and sons -- Fiction; Love stories; Paris (France) -- Fiction; Courtesans -- Fiction; Tuberculosis -- Patients -- Fiction
2682,Henri III et sa Cour.txt,Henri III et sa Cour,"Dumas, Alexandre, 1802-1870",2001,"Henry III, King of France, 1551-1589 -- Drama"
