roman_id,titre,auteur,genre,annee,langue,nb_mots,richesse,long_moy_phrase,texte_path
052d77a1-25ef-47a5-836d-c170aaf6c1e4,"Les historiettes de Tallemant des Réaux, tome sixième Mémoires pour servir à l'histoire du XVIIe siècle",H. de (René-Charles-Hippolyte Le Prestre de Lézonnet) Tallemant des Réaux; Chateaugiron,roman_historique,2014,français,119543,0.1423,20.92,"C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Les historiettes de Tallemant des Réaux, tome sixième_clean.txt"
11c6e9c8-0821-474c-86a7-b999abae1447,Les incertitudes de l'heure présente,Gustave Le Bon,essai,2026,français,23309,0.2285,18.96,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Les incertitudes de l'heure présente_clean.txt
2b94a2df-e03d-4cbe-ba07-b4cddc495c71,"Les mystères du peuple, Tome V Histoire d'une famille de prolétaires à travers les âges",Eugène Sue,roman_historique,2012,français,104242,0.2025,17.07,"C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Les mystères du peuple, Tome V_clean.txt"
3073bec8-5dfc-4ab3-a791-11c4d8ab9ed2,D'un pays lointain: Miracles; Visages de femmes; Anecdotes,Remy de Gourmont,nouvelle,2021,français,44247,0.2439,22.9,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\D'un pays lointain Miracles; Visages de femmes; Anecdotes_clean.txt
d8863afa-9f9f-4c09-a078-79614946f4ec,Le Cardinal de Richelieu,Hyacinthe Corne,histoire,2011,français,31101,0.2478,25.74,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Le Cardinal de Richelieu_clean.txt
331d21ab-9782-466c-9bf2-76b61218f3bd,Histoire du XIXe siècle (volume 2/3),Jules Michelet,roman_historique,2024,français,83803,0.1902,18.15,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Histoire du XIXe siècle (volume 2 3)_clean.txt
a01eb7ad-7686-4410-b87f-a09853efefe8,"Mémoires de Garibaldi, tome 1/2",Alexandre Dumas,biographie,2018,français,60701,0.2041,25.79,"C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Mémoires de Garibaldi, tome 1 2_clean.txt"
193d2711-2196-4ffa-899d-08d9ec98e7b8,"Jean-nu-pieds, Vol. 2 chronique de 1832",Albert Delpit,histoire,2006,français,100125,0.1784,10.6,"C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Jean-nu-pieds, Vol. 2_clean.txt"
9f568568-8d94-452c-9b37-43bdf303cb55,Divertissements: poèmes en vers,Remy de; Vibert Gourmont,poetique,2021,français,12666,0.2961,26.45,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Divertissements poèmes en vers_clean.txt
9b02b4b7-195c-433a-bc24-e2b8cebea2dd,"Œuvres Complètes de Chamfort (Tome 3) Recueillies et publiées, avec une notice historique sur la vie et les écrits de l'auteur.",Sébastien-Roch-Nicolas Chamfort,essai,2013,français,106677,0.1771,25.1,C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Œuvres Complètes de Chamfort (Tome 3)_clean.txt
fcb37d0d-6409-4dfd-9c0c-6abb7ec0f320,"Histoire de la Révolution française, Tome 01",Adolphe Thiers,roman_historique,2006,français,92732,0.1762,22.0,"C:\Media\Projet\Informatique\M1\Projet MNajib\storage\processed\Histoire de la Révolution française, Tome 01_clean.txt"
